Type,Mode,Group,Iteration,Latency_Sec,GasUsed
Ingestion,WELL_ShortDID,Medium,1,7.306252971000504,334620
Ingestion,WELL_ShortDID,Medium,2,2.1249419870000565,214591
Ingestion,WELL_ShortDID,Medium,3,3.080633461000616,214591
Ingestion,WELL_ShortDID,Medium,4,2.4783756169999833,214591
Ingestion,WELL_ShortDID,Medium,5,2.4701893960000234,214591
Ingestion,WELL_LongDID,Medium,6,2.3667681120005,222249
Ingestion,WELL_LongDID,Medium,7,2.7809765040001366,222249
Ingestion,WELL_LongDID,Medium,8,2.673612589000186,222249
Ingestion,WELL_LongDID,Medium,9,2.7726844150001853,222249
Ingestion,WELL_LongDID,Medium,10,2.5684324630001356,222249
Ingestion,WELL_ShortDID,Large,1,2.1453471300001183,334632
Ingestion,WELL_ShortDID,Large,2,2.6748188120000123,214603
Ingestion,WELL_ShortDID,Large,3,2.5718284749991653,214603
Ingestion,WELL_ShortDID,Large,4,2.1872774479998043,214603
Ingestion,WELL_ShortDID,Large,5,2.752190225999584,214603
Ingestion,WELL_LongDID,Large,6,2.8732246729996405,222261
Ingestion,WELL_LongDID,Large,7,2.7890213399996355,222261
Ingestion,WELL_LongDID,Large,8,3.1847885910001423,222261
Ingestion,WELL_LongDID,Large,9,2.2614636910002446,222261
Ingestion,WELL_LongDID,Large,10,2.1846778620001714,222261
Search,Baseline,N/A,1,0.006700400000227091,0
Search,WELL_SSE,N/A,1,0.007861565999519371,0
Analytics,Baseline,N/A,1,5.709998731617816e-07,0
Analytics,WELL_PHE,N/A,1,9.016900003189221e-05,0
Search,Baseline,N/A,2,0.00695499799985555,0
Search,WELL_SSE,N/A,2,0.007480554999347078,0
Analytics,Baseline,N/A,2,1.4519991964334622e-06,0
Analytics,WELL_PHE,N/A,2,0.00011149700003443286,0
Search,Baseline,N/A,3,0.006923381999513367,0
Search,WELL_SSE,N/A,3,0.00816687400038063,0
Analytics,Baseline,N/A,3,1.3629996828967705e-06,0
Analytics,WELL_PHE,N/A,3,8.334599988302216e-05,0
Search,Baseline,N/A,4,0.006781852999665716,0
Search,WELL_SSE,N/A,4,0.005966925999928208,0
Analytics,Baseline,N/A,4,1.532999704068061e-06,0
Analytics,WELL_PHE,N/A,4,0.0001025909996315022,0
Search,Baseline,N/A,5,0.006077920999814523,0
Search,WELL_SSE,N/A,5,0.007102928000676911,0
Analytics,Baseline,N/A,5,1.4019997252034955e-06,0
Analytics,WELL_PHE,N/A,5,8.373699984076666e-05,0
Search,Baseline,N/A,6,0.007317015000808169,0
Search,WELL_SSE,N/A,6,0.006613435999497597,0
Analytics,Baseline,N/A,6,1.8540004020906053e-06,0
Analytics,WELL_PHE,N/A,6,0.0001314409992119181,0
Search,Baseline,N/A,7,0.005796786999781034,0
Search,WELL_SSE,N/A,7,0.006886987000143563,0
Analytics,Baseline,N/A,7,1.2729997251881287e-06,0
Analytics,WELL_PHE,N/A,7,8.345700007339474e-05,0
Search,Baseline,N/A,8,0.006237974000214308,0
Search,WELL_SSE,N/A,8,0.007576042000437155,0
Analytics,Baseline,N/A,8,1.6429994502686895e-06,0
Analytics,WELL_PHE,N/A,8,8.38169999042293e-05,0
Search,Baseline,N/A,9,0.0054682669997419,0
Search,WELL_SSE,N/A,9,0.006394789999831119,0
Analytics,Baseline,N/A,9,1.7630000002100132e-06,0
Analytics,WELL_PHE,N/A,9,8.438799977739109e-05,0
Search,Baseline,N/A,10,0.006779327999538509,0
Search,WELL_SSE,N/A,10,0.006206678999660653,0
Analytics,Baseline,N/A,10,1.2329992387094535e-06,0
Analytics,WELL_PHE,N/A,10,8.749500011617783e-05,0
